stockist_code,year,month,month_label,pdf_filename,original_name,date_str,time_str,page_count,page_bucket
10034008,2026,2,2026-02,10034008_20260202_110333_rptMonthlySalesAndStock7111202652819714.pdf,rptmonthlysalesandstock7111202652819714,20260202,110333,2,2_pages
10034008,2026,2,2026-02,10034008_20260202_110333_rptMonthlySalesAndStock7111202652825795.pdf,rptmonthlysalesandstock7111202652825795,20260202,110333,1,single_page
10034008,2026,2,2026-02,10034008_20260202_110333_rptMonthlySalesAndStock7111202652928418.pdf,rptmonthlysalesandstock7111202652928418,20260202,110333,2,2_pages
10034008,2026,2,2026-02,10034008_20260202_110333_rptMonthlySalesAndStock7111202652953422.pdf,rptmonthlysalesandstock7111202652953422,20260202,110333,1,single_page
10034008,2026,2,2026-02,10034008_20260202_111342_rptMonthlySalesAndStock711120265293566.pdf,rptmonthlysalesandstock711120265293566,20260202,111342,2,2_pages
10034008,2026,2,2026-02,10034008_20260202_143629_rptMonthlySalesAndStock711120269046885.pdf,rptmonthlysalesandstock711120269046885,20260202,143629,2,2_pages
10034008,2026,2,2026-02,10034008_20260202_143630_rptMonthlySalesAndStock711120269033754.pdf,rptmonthlysalesandstock711120269033754,20260202,143630,1,single_page
10034008,2026,2,2026-02,10034008_20260202_143630_rptMonthlySalesAndStock711120269053489.pdf,rptmonthlysalesandstock711120269053489,20260202,143630,1,single_page
10034008,2026,2,2026-02,10034008_20260202_143630_rptMonthlySalesAndStock71112026910103.pdf,rptmonthlysalesandstock71112026910103,20260202,143630,2,2_pages
10034008,2026,2,2026-02,10034008_20260202_143630_rptMonthlySalesAndStock711120269134232.pdf,rptmonthlysalesandstock711120269134232,20260202,143630,1,single_page
10034008,2026,2,2026-02,10034008_20260202_143630_rptMonthlySalesAndStock711120269237582.pdf,rptmonthlysalesandstock711120269237582,20260202,143630,2,2_pages
10034008,2026,2,2026-02,10034008_20260202_143630_rptMonthlySalesAndStock711120269251154.pdf,rptmonthlysalesandstock711120269251154,20260202,143630,1,single_page
10034008,2026,2,2026-02,10034008_20260202_143631_rptMonthlySalesAndStock711120269040205.pdf,rptmonthlysalesandstock711120269040205,20260202,143631,2,2_pages
10034008,2026,2,2026-02,10034008_20260202_143631_rptMonthlySalesAndStock71112026916783.pdf,rptmonthlysalesandstock71112026916783,20260202,143631,2,2_pages
10034008,2026,2,2026-02,10034008_20260202_143631_rptMonthlySalesAndStock711120269218808.pdf,rptmonthlysalesandstock711120269218808,20260202,143631,2,2_pages
10034008,2026,2,2026-02,10034008_20260202_143631_rptMonthlySalesAndStock711120269231552.pdf,rptmonthlysalesandstock711120269231552,20260202,143631,2,2_pages
10034008,2026,2,2026-02,10034008_20260202_144135_rptMonthlySalesAndStock711120269121373.pdf,rptmonthlysalesandstock711120269121373,20260202,144135,2,2_pages
10034008,2026,2,2026-02,10034008_20260202_144135_rptMonthlySalesAndStock711120269159765.pdf,rptmonthlysalesandstock711120269159765,20260202,144135,1,single_page
10034008,2026,2,2026-02,10034008_20260202_144135_rptMonthlySalesAndStock71112026922513.pdf,rptmonthlysalesandstock71112026922513,20260202,144135,2,2_pages
10034008,2026,2,2026-02,10034008_20260202_144135_rptMonthlySalesAndStock71112026924468.pdf,rptmonthlysalesandstock71112026924468,20260202,144135,1,single_page
10034008,2026,2,2026-02,10034008_20260202_144135_rptMonthlySalesAndStock711120269257431.pdf,rptmonthlysalesandstock711120269257431,20260202,144135,1,single_page
10034008,2026,2,2026-02,10034008_20260202_144136_rptMonthlySalesAndStock711120269114727.pdf,rptmonthlysalesandstock711120269114727,20260202,144136,1,single_page
10034008,2026,2,2026-02,10034008_20260202_144136_rptMonthlySalesAndStock711120269127487.pdf,rptmonthlysalesandstock711120269127487,20260202,144136,1,single_page
10034008,2026,2,2026-02,10034008_20260202_144136_rptMonthlySalesAndStock711120269212460.pdf,rptmonthlysalesandstock711120269212460,20260202,144136,1,single_page
10034008,2026,2,2026-02,10034008_20260202_144639_rptMonthlySalesAndStock71112026925970.pdf,rptmonthlysalesandstock71112026925970,20260202,144639,2,2_pages
10034008,2026,2,2026-02,10034008_20260207_130236_rptMonthlySalesAndStock716120267294461.pdf,rptmonthlysalesandstock716120267294461,20260207,130236,1,single_page
10034008,2026,2,2026-02,10034008_20260207_130738_rptMonthlySalesAndStock7161202672910883.pdf,rptmonthlysalesandstock7161202672910883,20260207,130738,2,2_pages
10034008,2026,2,2026-02,10034008_20260207_130738_rptMonthlySalesAndStock7161202672917497.pdf,rptmonthlysalesandstock7161202672917497,20260207,130738,2,2_pages
10034008,2026,2,2026-02,10034008_20260207_130738_rptMonthlySalesAndStock7161202672924218.pdf,rptmonthlysalesandstock7161202672924218,20260207,130738,1,single_page
10034008,2026,2,2026-02,10034008_20260207_130738_rptMonthlySalesAndStock7161202672930880.pdf,rptmonthlysalesandstock7161202672930880,20260207,130738,2,2_pages
10034008,2026,2,2026-02,10034008_20260207_130738_rptMonthlySalesAndStock7161202672937567.pdf,rptmonthlysalesandstock7161202672937567,20260207,130738,2,2_pages
10034008,2026,2,2026-02,10034008_20260207_130738_rptMonthlySalesAndStock7161202672944132.pdf,rptmonthlysalesandstock7161202672944132,20260207,130738,1,single_page
10034008,2026,2,2026-02,10034008_20260207_130738_rptMonthlySalesAndStock7161202672950749.pdf,rptmonthlysalesandstock7161202672950749,20260207,130738,2,2_pages
10034008,2026,2,2026-02,10034008_20260207_130738_rptMonthlySalesAndStock7161202672957337.pdf,rptmonthlysalesandstock7161202672957337,20260207,130738,1,single_page
10034008,2026,2,2026-02,10034008_20260207_130738_rptMonthlySalesAndStock7161202673033153.pdf,rptmonthlysalesandstock7161202673033153,20260207,130738,1,single_page
10034008,2026,2,2026-02,10034008_20260207_130738_rptMonthlySalesAndStock7161202673039939.pdf,rptmonthlysalesandstock7161202673039939,20260207,130738,2,2_pages
10034008,2026,2,2026-02,10034008_20260207_130738_rptMonthlySalesAndStock716120267304164.pdf,rptmonthlysalesandstock716120267304164,20260207,130738,1,single_page
10034008,2026,2,2026-02,10034008_20260207_130738_rptMonthlySalesAndStock7161202673047609.pdf,rptmonthlysalesandstock7161202673047609,20260207,130738,1,single_page
10034008,2026,2,2026-02,10034008_20260207_130738_rptMonthlySalesAndStock7161202673053963.pdf,rptmonthlysalesandstock7161202673053963,20260207,130738,2,2_pages
10034008,2026,2,2026-02,10034008_20260207_130738_rptMonthlySalesAndStock716120267310516.pdf,rptmonthlysalesandstock716120267310516,20260207,130738,2,2_pages
10034008,2026,2,2026-02,10034008_20260207_130738_rptMonthlySalesAndStock7161202673113822.pdf,rptmonthlysalesandstock7161202673113822,20260207,130738,2,2_pages
10034008,2026,2,2026-02,10034008_20260207_130738_rptMonthlySalesAndStock7161202673120553.pdf,rptmonthlysalesandstock7161202673120553,20260207,130738,1,single_page
10034008,2026,2,2026-02,10034008_20260207_130738_rptMonthlySalesAndStock7161202673134371.pdf,rptmonthlysalesandstock7161202673134371,20260207,130738,1,single_page
10034008,2026,2,2026-02,10034008_20260207_130738_rptMonthlySalesAndStock716120267317314.pdf,rptmonthlysalesandstock716120267317314,20260207,130738,2,2_pages
10034008,2026,2,2026-02,10034008_20260207_130746_rptMonthlySalesAndStock7161202673126880.pdf,rptmonthlysalesandstock7161202673126880,20260207,130746,1,single_page
10034008,2026,2,2026-02,10034008_20260214_112755_rptMonthlySalesAndStock7161202655133754.pdf,rptmonthlysalesandstock7161202655133754,20260214,112755,1,single_page
10034008,2026,2,2026-02,10034008_20260214_112755_rptMonthlySalesAndStock716120265514764.pdf,rptmonthlysalesandstock716120265514764,20260214,112755,2,2_pages
10034008,2026,2,2026-02,10034008_20260214_112755_rptMonthlySalesAndStock7161202655212205.pdf,rptmonthlysalesandstock7161202655212205,20260214,112755,1,single_page
10034008,2026,2,2026-02,10034008_20260214_112755_rptMonthlySalesAndStock7161202655218374.pdf,rptmonthlysalesandstock7161202655218374,20260214,112755,2,2_pages
10034008,2026,2,2026-02,10034008_20260214_112755_rptMonthlySalesAndStock7161202655230802.pdf,rptmonthlysalesandstock7161202655230802,20260214,112755,1,single_page
10034008,2026,2,2026-02,10034008_20260214_112755_rptMonthlySalesAndStock7161202655256612.pdf,rptmonthlysalesandstock7161202655256612,20260214,112755,1,single_page
10034008,2026,2,2026-02,10034008_20260214_112755_rptMonthlySalesAndStock716120265526184.pdf,rptmonthlysalesandstock716120265526184,20260214,112755,2,2_pages
10034008,2026,2,2026-02,10034008_20260214_112755_rptMonthlySalesAndStock7161202655321924.pdf,rptmonthlysalesandstock7161202655321924,20260214,112755,2,2_pages
10034008,2026,2,2026-02,10034008_20260214_112755_rptMonthlySalesAndStock716120265532883.pdf,rptmonthlysalesandstock716120265532883,20260214,112755,2,2_pages
10034008,2026,2,2026-02,10034008_20260214_112755_rptMonthlySalesAndStock7161202655334632.pdf,rptmonthlysalesandstock7161202655334632,20260214,112755,2,2_pages
10034008,2026,2,2026-02,10034008_20260214_112755_rptMonthlySalesAndStock716120265534793.pdf,rptmonthlysalesandstock716120265534793,20260214,112755,1,single_page
10034008,2026,2,2026-02,10034008_20260214_112755_rptMonthlySalesAndStock716120265535386.pdf,rptmonthlysalesandstock716120265535386,20260214,112755,1,single_page
10034008,2026,2,2026-02,10034008_20260214_112755_rptMonthlySalesAndStock716120265539587.pdf,rptmonthlysalesandstock716120265539587,20260214,112755,1,single_page
10034008,2026,2,2026-02,10034008_20260214_112756_rptMonthlySalesAndStock7161202655139818.pdf,rptmonthlysalesandstock7161202655139818,20260214,112756,2,2_pages
10034008,2026,2,2026-02,10034008_20260214_112756_rptMonthlySalesAndStock7161202655153492.pdf,rptmonthlysalesandstock7161202655153492,20260214,112756,1,single_page
10034008,2026,2,2026-02,10034008_20260214_112756_rptMonthlySalesAndStock7161202655224585.pdf,rptmonthlysalesandstock7161202655224585,20260214,112756,1,single_page
10034008,2026,2,2026-02,10034008_20260214_112756_rptMonthlySalesAndStock7161202655315922.pdf,rptmonthlysalesandstock7161202655315922,20260214,112756,2,2_pages
10034008,2026,2,2026-02,10034008_20260214_112756_rptMonthlySalesAndStock7161202655328378.pdf,rptmonthlysalesandstock7161202655328378,20260214,112756,2,2_pages
10034008,2026,2,2026-02,10034008_20260214_112756_rptMonthlySalesAndStock7161202655340964.pdf,rptmonthlysalesandstock7161202655340964,20260214,112756,1,single_page
10034008,2026,2,2026-02,10034008_20260214_112757_rptMonthlySalesAndStock7161202655159859.pdf,rptmonthlysalesandstock7161202655159859,20260214,112757,2,2_pages
10034008,2026,2,2026-02,10034008_20260214_133224_rptMonthlySalesAndStock7161202675449658.pdf,rptmonthlysalesandstock7161202675449658,20260214,133224,2,2_pages
10034008,2026,2,2026-02,10034008_20260214_133224_rptMonthlySalesAndStock716120267552355.pdf,rptmonthlysalesandstock716120267552355,20260214,133224,1,single_page
10034008,2026,2,2026-02,10034008_20260214_133224_rptMonthlySalesAndStock7161202675548496.pdf,rptmonthlysalesandstock7161202675548496,20260214,133224,2,2_pages
10034008,2026,2,2026-02,10034008_20260214_133225_rptMonthlySalesAndStock7161202675410650.pdf,rptmonthlysalesandstock7161202675410650,20260214,133225,2,2_pages
10034008,2026,2,2026-02,10034008_20260214_133225_rptMonthlySalesAndStock716120267541769.pdf,rptmonthlysalesandstock716120267541769,20260214,133225,2,2_pages
10034008,2026,2,2026-02,10034008_20260214_133225_rptMonthlySalesAndStock7161202675423733.pdf,rptmonthlysalesandstock7161202675423733,20260214,133225,1,single_page
10034008,2026,2,2026-02,10034008_20260214_133225_rptMonthlySalesAndStock7161202675430167.pdf,rptmonthlysalesandstock7161202675430167,20260214,133225,2,2_pages
10034008,2026,2,2026-02,10034008_20260214_133225_rptMonthlySalesAndStock7161202675436510.pdf,rptmonthlysalesandstock7161202675436510,20260214,133225,2,2_pages
10034008,2026,2,2026-02,10034008_20260214_133225_rptMonthlySalesAndStock716120267543833.pdf,rptmonthlysalesandstock716120267543833,20260214,133225,1,single_page
10034008,2026,2,2026-02,10034008_20260214_133225_rptMonthlySalesAndStock7161202675442630.pdf,rptmonthlysalesandstock7161202675442630,20260214,133225,1,single_page
10034008,2026,2,2026-02,10034008_20260214_133225_rptMonthlySalesAndStock7161202675455977.pdf,rptmonthlysalesandstock7161202675455977,20260214,133225,1,single_page
10034008,2026,2,2026-02,10034008_20260214_133225_rptMonthlySalesAndStock7161202675528895.pdf,rptmonthlysalesandstock7161202675528895,20260214,133225,1,single_page
10034008,2026,2,2026-02,10034008_20260214_133225_rptMonthlySalesAndStock7161202675535440.pdf,rptmonthlysalesandstock7161202675535440,20260214,133225,2,2_pages
10034008,2026,2,2026-02,10034008_20260214_133225_rptMonthlySalesAndStock7161202675541926.pdf,rptmonthlysalesandstock7161202675541926,20260214,133225,1,single_page
10034008,2026,2,2026-02,10034008_20260214_133225_rptMonthlySalesAndStock7161202675554853.pdf,rptmonthlysalesandstock7161202675554853,20260214,133225,2,2_pages
10034008,2026,2,2026-02,10034008_20260214_133225_rptMonthlySalesAndStock716120267561201.pdf,rptmonthlysalesandstock716120267561201,20260214,133225,2,2_pages
10034008,2026,2,2026-02,10034008_20260214_133225_rptMonthlySalesAndStock716120267561467.pdf,rptmonthlysalesandstock716120267561467,20260214,133225,1,single_page
10034008,2026,2,2026-02,10034008_20260214_133225_rptMonthlySalesAndStock7161202675626997.pdf,rptmonthlysalesandstock7161202675626997,20260214,133225,1,single_page
10034008,2026,2,2026-02,10034008_20260214_133227_rptMonthlySalesAndStock716120267567613.pdf,rptmonthlysalesandstock716120267567613,20260214,133227,2,2_pages
10034008,2026,2,2026-02,10034008_20260214_133742_rptMonthlySalesAndStock7161202675620705.pdf,rptmonthlysalesandstock7161202675620705,20260214,133742,1,single_page
10034008,2026,2,2026-02,10034008_20260221_111228_rptMonthlySalesAndStock716120265343818.pdf,rptmonthlysalesandstock716120265343818,20260221,111228,1,single_page
10034008,2026,2,2026-02,10034008_20260221_111229_rptMonthlySalesAndStock7161202653416757.pdf,rptmonthlysalesandstock7161202653416757,20260221,111229,2,2_pages
